No,Direction,Time_Scale,Frame_Type,Frame_Format,Frame_ID,Data_Length,ByteA,ByteB,ByteC,ByteD,ByteE,ByteF,ByteG,ByteH,,
,,,,,,,,,,,,,,
170,Receive,18:47:46:485,Data frame,Standard frame,440,8,0e,29,0e,29,00,00,00,00
171,Receive,18:47:46:489,Data frame,Standard frame,450,8,34,07,35,05,ff,0f,ff,0f
172,Receive,18:47:46:493,Data frame,Standard frame,460,8,00,00,a6,00,cd,01,4d,01
173,Receive,18:47:46:497,Data frame,Standard frame,461,8,00,32,ff,3f,38,38,aa,00
174,Receive,18:47:46:501,Data frame,Standard frame,462,8,00,00,00,00,3a,00,00,00
175,Receive,18:47:46:506,Data frame,Standard frame,463,8,e8,03,e8,03,00,00,00,00
176,Receive,18:47:46:510,Data frame,Standard frame,464,8,53,ff,ff,ff,ff,73,19,19
177,Receive,18:47:46:514,Data frame,Standard frame,465,8,ff,ff,00,ff,ff,4e,4e,ff
178,Receive,18:47:46:518,Data frame,Standard frame,466,8,00,00,00,00,00,00,00,00
179,Receive,18:47:46:522,Data frame,Standard frame,467,8,00,00,00,00,00,00,00,00
180,Receive,18:47:46:527,Data frame,Standard frame,468,8,00,00,00,00,00,00,00,00
181,Receive,18:47:46:532,Data frame,Standard frame,469,8,00,00,00,00,00,00,00,00
182,Receive,18:47:46:537,Data frame,Standard frame,201,8,00,00,00,00,00,00,00,00
183,Receive,18:47:46:541,Data frame,Standard frame,410,8,00,ff,19,19,ff,ff,ff,ff
184,Receive,18:47:46:544,Data frame,Standard frame,201,8,00,00,00,00,00,00,00,00
185,Receive,18:47:46:549,Data frame,Standard frame,202,8,d9,00,00,00,00,00,00,00
186,Receive,18:47:46:553,Data frame,Standard frame,430,8,00,00,00,00,38,38,ff,0f
187,Receive,18:47:46:556,Data frame,Standard frame,440,8,0e,29,0e,29,00,00,00,00
188,Receive,18:47:46:561,Data frame,Standard frame,450,8,34,07,35,05,ff,0f,ff,0f
189,Receive,18:47:46:566,Data frame,Standard frame,201,8,00,00,00,00,00,00,00,00
190,Receive,18:47:46:570,Data frame,Standard frame,201,8,00,00,00,00,00,00,00,00
191,Receive,18:47:46:573,Data frame,Standard frame,460,8,00,00,a6,00,cd,01,4d,01
192,Receive,18:47:46:577,Data frame,Standard frame,461,8,00,32,ff,3f,38,38,aa,00
193,Receive,18:47:46:581,Data frame,Standard frame,462,8,00,00,00,00,3a,00,00,00
194,Receive,18:47:46:585,Data frame,Standard frame,463,8,e8,03,e8,03,00,00,00,00
195,Receive,18:47:46:589,Data frame,Standard frame,464,8,53,ff,ff,ff,ff,73,19,19
196,Receive,18:47:46:593,Data frame,Standard frame,465,8,ff,ff,00,ff,ff,4e,4e,ff
197,Receive,18:47:46:597,Data frame,Standard frame,466,8,00,00,00,00,00,00,00,00
198,Receive,18:47:46:601,Data frame,Standard frame,467,8,00,00,00,00,00,00,00,00
199,Receive,18:47:46:605,Data frame,Standard frame,468,8,00,00,00,00,00,00,00,00
200,Receive,18:47:46:610,Data frame,Standard frame,251,8,1e,0a,00,00,00,00,00,00
201,Receive,18:47:46:614,Data frame,Standard frame,430,8,00,00,00,00,38,38,ff,0f
202,Receive,18:47:46:618,Data frame,Standard frame,440,8,0e,29,0e,29,00,00,00,00
203,Receive,18:47:46:621,Data frame,Standard frame,450,8,34,07,35,05,ff,0f,ff,0f
204,Receive,18:47:46:626,Data frame,Standard frame,201,8,00,00,00,00,00,00,00,00
205,Receive,18:47:46:629,Data frame,Standard frame,451,8,0a,ff,ff,3f,5b,7a,00,e0
206,Receive,18:47:46:633,Data frame,Standard frame,400,8,27,14,b4,ff,aa,64,64,04
207,Receive,18:47:46:636,Data frame,Standard frame,201,8,00,00,00,00,00,00,00,00
208,Receive,18:47:46:640,Data frame,Standard frame,410,8,00,ff,19,19,ff,ff,ff,ff
209,Receive,18:47:46:644,Data frame,Standard frame,430,8,00,00,00,00,38,38,ff,0f
210,Receive,18:47:46:647,Data frame,Standard frame,440,8,0e,29,0e,29,00,00,00,00
211,Receive,18:47:46:651,Data frame,Standard frame,450,8,34,07,35,05,ff,0f,ff,0f
212,Receive,18:47:46:654,Data frame,Standard frame,201,8,00,00,00,00,00,00,00,00
213,Receive,18:47:46:659,Data frame,Standard frame,460,8,00,00,a6,00,cd,01,4d,01
214,Receive,18:47:46:662,Data frame,Standard frame,461,8,00,32,ff,3f,38,38,aa,00
215,Receive,18:47:46:666,Data frame,Standard frame,462,8,00,00,00,00,3a,00,00,00
216,Receive,18:47:46:669,Data frame,Standard frame,463,8,e8,03,e8,03,00,00,00,00
217,Receive,18:47:46:673,Data frame,Standard frame,464,8,53,ff,ff,ff,ff,73,19,19
218,Receive,18:47:46:678,Data frame,Standard frame,465,8,ff,ff,00,ff,ff,4e,4e,ff
219,Receive,18:47:46:682,Data frame,Standard frame,466,8,00,00,00,00,00,00,00,00
220,Receive,18:47:46:687,Data frame,Standard frame,467,8,00,00,00,00,00,00,00,00
221,Receive,18:47:46:691,Data frame,Standard frame,468,8,00,00,00,00,00,00,00,00
222,Receive,18:47:46:695,Data frame,Standard frame,307,8,01,00,00,03,00,00,00,00
223,Receive,18:47:46:699,Data frame,Standard frame,201,8,00,00,00,00,00,00,00,00
224,Receive,18:47:46:703,Data frame,Standard frame,201,8,00,00,00,00,00,00,00,00
225,Receive,18:47:46:706,Data frame,Standard frame,251,8,1e,0a,00,00,00,00,00,00
226,Receive,18:47:46:710,Data frame,Standard frame,430,8,00,00,00,00,38,38,ff,0f
227,Receive,18:47:46:714,Data frame,Standard frame,440,8,0e,29,0e,29,00,00,00,00
228,Receive,18:47:46:719,Data frame,Standard frame,450,8,34,07,35,05,ff,0f,ff,0f
229,Receive,18:47:46:724,Data frame,Standard frame,201,8,00,00,00,00,00,00,00,00
230,Receive,18:47:46:728,Data frame,Standard frame,422,8,00,04,00,10,20,00,04,0a
231,Receive,18:47:46:732,Data frame,Standard frame,423,8,00,00,00,00,00,00,00,00
232,Receive,18:47:46:736,Data frame,Standard frame,400,8,27,14,b4,ff,aa,64,64,04
233,Receive,18:47:46:740,Data frame,Standard frame,460,8,00,00,a6,00,cd,01,4d,01
234,Receive,18:47:46:745,Data frame,Standard frame,461,8,00,32,ff,3f,38,38,aa,00
235,Receive,18:47:46:749,Data frame,Standard frame,462,8,00,00,00,00,3a,00,00,00
236,Receive,18:47:46:752,Data frame,Standard frame,463,8,e8,03,e8,03,00,00,00,00
237,Receive,18:47:46:756,Data frame,Standard frame,464,8,53,ff,ff,ff,ff,73,19,19
238,Receive,18:47:46:761,Data frame,Standard frame,465,8,ff,ff,00,ff,ff,4e,4e,ff
239,Receive,18:47:46:766,Data frame,Standard frame,466,8,00,00,00,00,00,00,00,00
240,Receive,18:47:46:770,Data frame,Standard frame,467,8,00,00,00,00,00,00,00,00
241,Receive,18:47:46:774,Data frame,Standard frame,468,8,00,00,00,00,00,00,00,00
242,Receive,18:47:46:779,Data frame,Standard frame,469,8,00,00,00,00,00,00,00,00
243,Receive,18:47:46:783,Data frame,Standard frame,201,8,00,00,00,00,00,00,00,00
244,Receive,18:47:46:787,Data frame,Standard frame,410,8,00,ff,19,19,ff,ff,ff,ff
245,Receive,18:47:46:791,Data frame,Standard frame,430,8,00,00,00,00,38,38,ff,0f
246,Receive,18:47:46:796,Data frame,Standard frame,440,8,0e,29,0e,29,00,00,00,00
247,Receive,18:47:46:800,Data frame,Standard frame,450,8,35,07,35,05,ff,0f,ff,0f
248,Receive,18:47:46:804,Data frame,Standard frame,201,8,00,00,00,00,00,00,00,00
249,Receive,18:47:46:809,Data frame,Standard frame,420,8,08,04,40,10,28,00,04,0a
250,Receive,18:47:46:813,Data frame,Standard frame,421,8,00,01,00,00,00,00,00,00
251,Receive,18:47:46:818,Data frame,Standard frame,201,8,00,00,00,00,00,00,00,00
252,Receive,18:47:46:822,Data frame,Standard frame,430,8,00,00,00,00,38,38,ff,0f
253,Receive,18:47:46:828,Data frame,Standard frame,440,8,0e,29,0e,29,00,00,00,00
254,Receive,18:47:46:832,Data frame,Standard frame,450,8,34,07,35,05,ff,0f,ff,0f
255,Receive,18:47:46:836,Data frame,Standard frame,460,8,00,00,a6,00,cd,01,4d,01
256,Receive,18:47:46:840,Data frame,Standard frame,461,8,00,32,ff,3f,38,38,aa,00
257,Receive,18:47:46:844,Data frame,Standard frame,462,8,00,00,00,00,3a,00,00,00
258,Receive,18:47:46:848,Data frame,Standard frame,463,8,e8,03,e8,03,00,00,00,00
259,Receive,18:47:46:851,Data frame,Standard frame,464,8,53,ff,ff,ff,ff,73,19,19
260,Receive,18:47:46:855,Data frame,Standard frame,465,8,ff,ff,00,ff,ff,4e,4e,ff
261,Receive,18:47:46:858,Data frame,Standard frame,466,8,00,00,00,00,00,00,00,00
262,Receive,18:47:46:862,Data frame,Standard frame,467,8,00,00,00,00,00,00,00,00
263,Receive,18:47:46:866,Data frame,Standard frame,468,8,00,00,00,00,00,00,00,00
264,Receive,18:47:46:869,Data frame,Standard frame,469,8,00,00,00,00,00,00,00,00
265,Receive,18:47:46:873,Data frame,Standard frame,201,8,00,00,00,00,00,00,00,00
266,Receive,18:47:46:877,Data frame,Standard frame,251,8,1e,0a,00,00,00,00,00,00
267,Receive,18:47:46:881,Data frame,Standard frame,201,8,00,00,00,00,00,00,00,00
268,Receive,18:47:46:884,Data frame,Standard frame,202,8,d9,00,00,00,00,00,00,00
269,Receive,18:47:46:888,Data frame,Standard frame,400,8,27,14,b4,ff,aa,64,64,04
270,Receive,18:47:46:892,Data frame,Standard frame,430,8,00,00,00,00,38,38,ff,0f
271,Receive,18:47:46:896,Data frame,Standard frame,440,8,0e,29,0e,29,00,00,00,00
272,Receive,18:47:46:899,Data frame,Standard frame,450,8,35,07,35,05,ff,0f,ff,0f
273,Receive,18:47:46:902,Data frame,Standard frame,201,8,00,00,00,00,00,00,00,00
274,Receive,18:47:46:906,Data frame,Standard frame,410,8,00,ff,19,19,ff,ff,ff,ff
275,Receive,18:47:46:910,Data frame,Standard frame,201,8,00,00,00,00,00,00,00,00
